state,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
California,Premium,Undergraduate,Unemployed,M,Suburban,Married,Personal Auto,L2,Offer1,Branch,Sports,Small
Arizona,Extended,Undergraduate,Employed,F,Suburban,Divorced,Corporate Auto,L3,Offer3,Call Center,Sports,Small
California,Basic,Undergraduate,Employed,M,Urban,Married,Special Auto,L2,Offer2,Branch,Sports,Medsize
Arizona,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,L2,Offer1,Call Center,Luxury,Small
Oregon,Extended,High School or Below,Unemployed,F,Suburban,Divorced,Personal Auto,L3,Offer1,Call Center,Luxury,Medsize
Oregon,Premium,Postgraduate,Unemployed,F,Suburban,Divorced,Personal Auto,L1,Offer1,Agent,Sports,Medsize
Arizona,Basic,Undergraduate,Unemployed,M,Suburban,Divorced,Personal Auto,L1,Offer1,Agent,Sports,Medsize
California,Premium,Undergraduate,Unemployed,F,Suburban,Married,Personal Auto,L3,Offer1,Call Center,Sports,Small
Oregon,Extended,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L3,Offer1,Agent,Sports,Small
California,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,L3,Offer1,Agent,Luxury,Medsize
Arizona,Basic,Undergraduate,Employed,F,Suburban,Single,Personal Auto,L3,Offer3,Branch,Sports,Large
Washington,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L3,Offer3,Web,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,F,Suburban,Divorced,Corporate Auto,L3,Offer1,Agent,Luxury,Medsize
Arizona,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,L3,Offer4,Branch,Sports,Small
Oregon,Extended,Undergraduate,Employed,F,Suburban,Divorced,Personal Auto,L3,Offer1,Call Center,Sports,Large
California,Premium,Undergraduate,Unemployed,F,Suburban,Married,Personal Auto,L3,Offer3,Web,Sports,Medsize
Oregon,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,L3,Offer4,Agent,Luxury,Medsize
Oregon,Basic,Postgraduate,Employed,M,Rural,Married,Personal Auto,L2,Offer2,Web,Sports,Large
Oregon,Basic,Postgraduate,Unemployed,M,Suburban,Married,Personal Auto,L1,Offer1,Agent,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L3,Offer1,Agent,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,M,Suburban,Divorced,Personal Auto,L3,Offer2,Branch,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L3,Offer2,Branch,Sports,Small
Oregon,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,L1,Offer2,Call Center,Sports,Medsize
Nevada,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L1,Offer2,Agent,Sports,Medsize
Washington,Extended,Undergraduate,Employed,M,Rural,Married,Personal Auto,L3,Offer1,Agent,Sports,Medsize
California,Basic,Undergraduate,Employed,M,Rural,Single,Personal Auto,L3,Offer2,Branch,Luxury,Small
California,Extended,Undergraduate,Employed,F,Rural,Single,Personal Auto,L3,Offer3,Branch,Sports,Large
California,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,L3,Offer2,Call Center,Sports,Medsize
California,Basic,Postgraduate,Employed,M,Suburban,Married,Personal Auto,L1,Offer3,Branch,Luxury,Medsize
Nevada,Basic,Postgraduate,Employed,M,Suburban,Married,Personal Auto,L3,Offer2,Call Center,Sports,Large
Oregon,Extended,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,L3,Offer2,Agent,Sports,Small
Washington,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L2,Offer1,Call Center,Sports,Medsize
California,Extended,Undergraduate,Unemployed,M,Suburban,Married,Personal Auto,L1,Offer1,Agent,Sports,Medsize
California,Basic,Undergraduate,Employed,F,Urban,Married,Corporate Auto,L2,Offer3,Web,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,F,Suburban,Divorced,Personal Auto,L2,Offer3,Branch,Sports,Medsize
California,Extended,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L3,Offer1,Branch,Sports,Medsize
Oregon,Premium,Undergraduate,Unemployed,M,Suburban,Married,Personal Auto,L3,Offer2,Branch,Sports,Small
Washington,Extended,Undergraduate,Employed,F,Suburban,Married,Corporate Auto,L3,Offer2,Call Center,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,F,Rural,Married,Corporate Auto,L3,Offer1,Agent,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,M,Suburban,Married,Corporate Auto,L1,Offer1,Branch,Sports,Small
California,Extended,High School or Below,Employed,F,Suburban,Single,Personal Auto,L2,Offer1,Agent,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,F,Suburban,Married,Personal Auto,L3,Offer1,Branch,Sports,Large
Arizona,Basic,Postgraduate,Unemployed,F,Rural,Married,Personal Auto,L3,Offer1,Branch,Luxury,Medsize
California,Basic,Undergraduate,Unemployed,M,Suburban,Married,Personal Auto,L2,Offer1,Agent,Sports,Medsize
Arizona,Basic,Undergraduate,Employed,F,Urban,Married,Personal Auto,L1,Offer3,Web,Sports,Medsize
Oregon,Extended,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L2,Offer1,Agent,Sports,Small
California,Basic,Undergraduate,Employed,F,Suburban,Married,Personal Auto,L3,Offer1,Agent,Luxury,Medsize
California,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L1,Offer1,Branch,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,M,Rural,Single,Corporate Auto,L3,Offer3,Call Center,Sports,Medsize
California,Premium,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L3,Offer2,Branch,Sports,Medsize
California,Extended,High School or Below,Employed,F,Suburban,Single,Personal Auto,L3,Offer1,Web,Luxury,Medsize
Oregon,Extended,Undergraduate,Employed,F,Rural,Married,Personal Auto,L3,Offer1,Call Center,Sports,Small
California,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,L1,Offer3,Branch,Sports,Medsize
Oregon,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L1,Offer1,Agent,Luxury,Medsize
California,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,L3,Offer1,Agent,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,M,Urban,Married,Corporate Auto,L1,Offer4,Agent,Sports,Medsize
California,Extended,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L3,Offer4,Agent,Sports,Small
Washington,Extended,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,L2,Offer2,Web,Sports,Small
Arizona,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L3,Offer2,Branch,Luxury,Medsize
Oregon,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L3,Offer1,Agent,Sports,Medsize
Washington,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L2,Offer4,Branch,Sports,Medsize
California,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,L2,Offer1,Agent,Luxury,Medsize
Oregon,Extended,High School or Below,Unemployed,M,Suburban,Divorced,Personal Auto,L3,Offer2,Agent,Luxury,Medsize
Arizona,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,L3,Offer2,Branch,Sports,Medsize
California,Basic,Undergraduate,Employed,F,Suburban,Single,Personal Auto,L2,Offer3,Agent,Sports,Medsize
California,Extended,Undergraduate,Employed,F,Urban,Married,Corporate Auto,L2,Offer2,Call Center,Sports,Medsize
Washington,Extended,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L2,Offer3,Web,Sports,Medsize
California,Basic,Undergraduate,Employed,M,Rural,Married,Personal Auto,L3,Offer1,Call Center,Sports,Medsize
Oregon,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,L3,Offer3,Branch,Sports,Small
California,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,L3,Offer3,Web,Luxury,Medsize
Nevada,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,L3,Offer1,Agent,Sports,Medsize
Oregon,Premium,Undergraduate,Employed,M,Suburban,Divorced,Personal Auto,L2,Offer1,Call Center,Sports,Medsize
Oregon,Extended,Postgraduate,Employed,F,Rural,Single,Personal Auto,L3,Offer2,Branch,Sports,Medsize
Arizona,Extended,Undergraduate,Employed,M,Urban,Married,Special Auto,L2,Offer1,Branch,Sports,Medsize
Oregon,Basic,Undergraduate,Unemployed,M,Suburban,Divorced,Personal Auto,L2,Offer2,Web,Sports,Medsize
Washington,Basic,Postgraduate,Employed,F,Rural,Married,Personal Auto,L1,Offer2,Agent,Sports,Medsize
Arizona,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L3,Offer1,Agent,Sports,Medsize
Nevada,Basic,Undergraduate,Employed,F,Rural,Married,Special Auto,L2,Offer1,Branch,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,F,Urban,Married,Personal Auto,L3,Offer1,Call Center,Sports,Medsize
Arizona,Premium,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L3,Offer1,Agent,Sports,Small
Arizona,Basic,High School or Below,Employed,F,Suburban,Single,Corporate Auto,L2,Offer1,Web,Sports,Small
Arizona,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,L3,Offer1,Agent,Luxury,Medsize
Oregon,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,L2,Offer1,Branch,Sports,Medsize
Washington,Basic,Undergraduate,Employed,F,Suburban,Single,Personal Auto,L2,Offer2,Agent,Sports,Small
Oregon,Extended,Undergraduate,Employed,F,Urban,Married,Personal Auto,L3,Offer4,Branch,Sports,Medsize
Arizona,Extended,Undergraduate,Employed,F,Urban,Single,Special Auto,L3,Offer3,Branch,Sports,Small
Oregon,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L1,Offer4,Web,Sports,Large
Arizona,Premium,Postgraduate,Employed,M,Urban,Married,Personal Auto,L2,Offer1,Call Center,Luxury,Medsize
California,Extended,High School or Below,Employed,F,Suburban,Single,Personal Auto,L2,Offer3,Branch,Sports,Medsize
Washington,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,L3,Offer3,Agent,Luxury,Medsize
Oregon,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,L1,Offer1,Agent,Sports,Large
Nevada,Extended,Undergraduate,Employed,M,Urban,Married,Corporate Auto,L2,Offer4,Web,Sports,Medsize
California,Basic,Undergraduate,Employed,F,Suburban,Married,Corporate Auto,L3,Offer1,Call Center,Sports,Medsize
Arizona,Basic,Undergraduate,Employed,F,Suburban,Divorced,Corporate Auto,L2,Offer1,Call Center,Sports,Medsize
Arizona,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,L3,Offer2,Web,Sports,Medsize
Oregon,Premium,Undergraduate,Employed,M,Suburban,Married,Corporate Auto,L2,Offer1,Branch,Sports,Large
Washington,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L2,Offer4,Branch,Sports,Small
Washington,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,L3,Offer2,Agent,Sports,Medsize
Arizona,Extended,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,L3,Offer4,Agent,Luxury,Medsize
Arizona,Extended,Undergraduate,Unemployed,F,Rural,Married,Personal Auto,L1,Offer1,Branch,Luxury,Medsize
California,Basic,Undergraduate,Employed,F,Urban,Single,Personal Auto,L3,Offer2,Branch,Sports,Medsize
California,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L2,Offer2,Web,Sports,Small
Oregon,Extended,Undergraduate,Employed,M,Rural,Single,Personal Auto,L2,Offer3,Agent,Sports,Medsize
Oregon,Extended,Undergraduate,Employed,F,Suburban,Married,Personal Auto,L2,Offer2,Agent,Sports,Small
Arizona,Basic,Undergraduate,Unemployed,M,Suburban,Married,Personal Auto,L3,Offer2,Agent,Sports,Medsize
Arizona,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,L2,Offer1,Web,Sports,Large
California,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,L3,Offer2,Agent,Sports,Medsize
Washington,Basic,Undergraduate,Employed,F,Urban,Married,Personal Auto,L1,Offer1,Agent,Luxury,Medsize
California,Basic,Undergraduate,Employed,F,Suburban,Divorced,Personal Auto,L3,Offer1,Agent,Luxury,Medsize
Washington,Basic,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,L1,Offer1,Branch,Sports,Medsize
California,Extended,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L3,Offer1,Agent,Sports,Medsize
Oregon,Basic,Postgraduate,Unemployed,M,Suburban,Married,Personal Auto,L3,Offer1,Agent,Sports,Small
California,Basic,Undergraduate,Employed,F,Suburban,Single,Personal Auto,L3,Offer1,Agent,Sports,Small
California,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,L1,Offer1,Agent,Sports,Small
Oregon,Extended,High School or Below,Employed,F,Urban,Divorced,Personal Auto,L2,Offer3,Agent,Sports,Medsize
California,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,L2,Offer1,Agent,Sports,Medsize
California,Basic,Undergraduate,Unemployed,M,Suburban,Married,Personal Auto,L1,Offer4,Branch,Sports,Medsize
Oregon,Premium,Postgraduate,Unemployed,F,Urban,Divorced,Personal Auto,L3,Offer2,Agent,Sports,Medsize
Nevada,Basic,Undergraduate,Employed,F,Rural,Divorced,Personal Auto,L3,Offer3,Agent,Sports,Medsize
Nevada,Basic,Undergraduate,Employed,F,Suburban,Married,Personal Auto,L2,Offer3,Agent,Sports,Small
California,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,L2,Offer2,Call Center,Sports,Medsize
California,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,L2,Offer2,Call Center,Sports,Medsize
Washington,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,L2,Offer2,Agent,Luxury,Medsize
Arizona,Basic,Undergraduate,Employed,F,Urban,Married,Personal Auto,L3,Offer2,Call Center,Sports,Medsize
Washington,Basic,Undergraduate,Employed,F,Suburban,Single,Personal Auto,L3,Offer3,Web,Sports,Medsize
California,Basic,Undergraduate,Employed,F,Suburban,Divorced,Personal Auto,L2,Offer2,Call Center,Sports,Small
California,Premium,Undergraduate,Employed,F,Suburban,Married,Personal Auto,L2,Offer1,Agent,Sports,Medsize
Nevada,Extended,Undergraduate,Employed,F,Suburban,Married,Personal Auto,L3,Offer3,Branch,Luxury,Medsize
Oregon,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L2,Offer2,Branch,Sports,Large
Nevada,Extended,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L2,Offer4,Agent,Sports,Small
California,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L3,Offer1,Agent,Luxury,Medsize
California,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,L3,Offer3,Call Center,Luxury,Small
California,Basic,Undergraduate,Employed,F,Suburban,Single,Corporate Auto,L3,Offer2,Branch,Luxury,Medsize
Arizona,Extended,Undergraduate,Employed,F,Suburban,Married,Personal Auto,L1,Offer2,Agent,Luxury,Medsize
California,Extended,Undergraduate,Employed,F,Urban,Single,Personal Auto,L1,Offer3,Branch,Sports,Medsize
Oregon,Extended,Undergraduate,Employed,M,Urban,Married,Personal Auto,L3,Offer3,Branch,Sports,Medsize
California,Basic,Postgraduate,Employed,M,Urban,Married,Special Auto,L2,Offer4,Web,Luxury,Medsize
California,Basic,High School or Below,Employed,F,Suburban,Single,Special Auto,L3,Offer4,Branch,Sports,Small
California,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L3,Offer2,Branch,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,F,Suburban,Married,Personal Auto,L2,Offer4,Agent,Sports,Small
Arizona,Basic,High School or Below,Employed,F,Suburban,Divorced,Personal Auto,L2,Offer1,Branch,Sports,Small
Washington,Extended,Undergraduate,Employed,F,Suburban,Married,Personal Auto,L3,Offer1,Agent,Sports,Small
Oregon,Premium,High School or Below,Employed,M,Suburban,Single,Corporate Auto,L3,Offer4,Web,Luxury,Medsize
Oregon,Basic,Undergraduate,Employed,M,Rural,Single,Special Auto,L3,Offer1,Branch,Sports,Medsize
Washington,Extended,High School or Below,Employed,F,Suburban,Single,Personal Auto,L1,Offer3,Branch,Sports,Medsize
California,Extended,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L1,Offer1,Branch,Sports,Medsize
California,Premium,Postgraduate,Unemployed,F,Suburban,Single,Personal Auto,L1,Offer1,Call Center,Luxury,Medsize
Nevada,Extended,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,L3,Offer1,Agent,Luxury,Medsize
Arizona,Basic,High School or Below,Employed,F,Suburban,Married,Corporate Auto,L1,Offer2,Call Center,Sports,Medsize
California,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L2,Offer1,Agent,Luxury,Medsize
California,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,L2,Offer1,Call Center,Sports,Medsize
California,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L2,Offer1,Agent,Luxury,Medsize
California,Basic,Undergraduate,Employed,F,Urban,Married,Personal Auto,L1,Offer2,Branch,Sports,Medsize
California,Premium,Undergraduate,Employed,M,Suburban,Married,Corporate Auto,L2,Offer1,Branch,Luxury,Small
Oregon,Basic,High School or Below,Employed,F,Suburban,Divorced,Corporate Auto,L3,Offer2,Agent,Luxury,Medsize
Washington,Extended,Undergraduate,Employed,F,Rural,Married,Personal Auto,L3,Offer3,Web,Sports,Medsize
California,Extended,High School or Below,Employed,M,Suburban,Single,Personal Auto,L3,Offer2,Agent,Sports,Small
California,Basic,Undergraduate,Unemployed,M,Suburban,Single,Special Auto,L3,Offer1,Agent,Sports,Medsize
Washington,Extended,Undergraduate,Employed,M,Urban,Married,Corporate Auto,L3,Offer2,Web,Sports,Small
California,Basic,High School or Below,Employed,F,Urban,Single,Special Auto,L3,Offer1,Agent,Sports,Medsize
Arizona,Basic,Undergraduate,Employed,M,Suburban,Divorced,Personal Auto,L1,Offer4,Agent,Sports,Small
Oregon,Extended,Undergraduate,Employed,F,Suburban,Married,Corporate Auto,L1,Offer4,Call Center,Sports,Large
Oregon,Premium,Undergraduate,Employed,M,Urban,Married,Corporate Auto,L3,Offer4,Agent,Sports,Small
Oregon,Extended,High School or Below,Unemployed,F,Suburban,Married,Special Auto,L3,Offer1,Agent,Sports,Small
Washington,Basic,High School or Below,Employed,F,Suburban,Divorced,Personal Auto,L3,Offer1,Web,Sports,Medsize
California,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L1,Offer2,Branch,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,F,Suburban,Married,Personal Auto,L2,Offer3,Branch,Sports,Medsize
California,Basic,Undergraduate,Employed,M,Suburban,Divorced,Personal Auto,L2,Offer1,Call Center,Sports,Medsize
Nevada,Basic,High School or Below,Employed,M,Suburban,Divorced,Personal Auto,L1,Offer1,Call Center,Sports,Small
Washington,Extended,High School or Below,Employed,M,Suburban,Single,Personal Auto,L3,Offer2,Branch,Sports,Small
Oregon,Basic,Undergraduate,Unemployed,F,Suburban,Married,Personal Auto,L3,Offer2,Call Center,Luxury,Small
Oregon,Extended,Undergraduate,Employed,F,Suburban,Married,Personal Auto,L3,Offer3,Branch,Sports,Medsize
Nevada,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L1,Offer1,Branch,Sports,Medsize
Nevada,Basic,High School or Below,Employed,F,Rural,Single,Corporate Auto,L3,Offer2,Agent,Sports,Medsize
Arizona,Basic,High School or Below,Employed,M,Urban,Married,Corporate Auto,L3,Offer1,Agent,Luxury,Small
California,Basic,Undergraduate,Unemployed,M,Suburban,Married,Corporate Auto,L1,Offer1,Agent,Sports,Small
Arizona,Basic,Undergraduate,Employed,F,Suburban,Married,Corporate Auto,L1,Offer1,Call Center,Sports,Medsize
Arizona,Basic,Undergraduate,Employed,M,Urban,Single,Personal Auto,L3,Offer2,Agent,Sports,Medsize
Arizona,Extended,High School or Below,Employed,M,Urban,Married,Personal Auto,L2,Offer1,Agent,Sports,Medsize
Oregon,Premium,Undergraduate,Employed,F,Suburban,Married,Personal Auto,L3,Offer1,Web,Luxury,Small
Arizona,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L3,Offer3,Call Center,Sports,Medsize
California,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L3,Offer1,Branch,Sports,Small
California,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,L2,Offer1,Web,Sports,Large
Washington,Extended,Undergraduate,Employed,M,Urban,Divorced,Corporate Auto,L1,Offer2,Branch,Luxury,Large
Washington,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L3,Offer2,Agent,Sports,Small
Washington,Basic,Undergraduate,Employed,F,Suburban,Single,Personal Auto,L3,Offer2,Agent,Sports,Small
Nevada,Basic,High School or Below,Employed,F,Suburban,Married,Corporate Auto,L3,Offer2,Agent,Sports,Small
Arizona,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,L1,Offer3,Agent,Sports,Large
Oregon,Basic,Undergraduate,Employed,F,Suburban,Divorced,Corporate Auto,L3,Offer1,Branch,Sports,Small
California,Extended,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L2,Offer2,Web,Sports,Large
